ID,MEMBER,"TRANSACTION TYPE","WALLET TYPE",VALUE,DESCRIPTION,DATE
890,BCM01,EARNING,Cash,75,"Indirect Referral Bonus From WHITEQUIN","2024-09-23 06:11:46"
891,BossLady,EARNING,Cash,450,"Indirect Referral Bonus From WHITEQUIN","2024-09-23 06:11:46"
892,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From WHITEQUIN","2024-09-23 06:11:46"
893,AUSTINLAHOR,EARNING,Cash,225,"Indirect Referral Bonus From WHITEQUIN","2024-09-23 06:11:46"
894,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From WHITEQUIN","2024-09-23 06:11:46"
895,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From FEELMONEY","2024-09-22 17:32:34"
896,Worldbest,EARNING,Cash,75,"Indirect Referral Bonus From FEELMONEY","2024-09-22 17:32:34"
897,GreatGrace,EARNING,Cash,450,"Indirect Referral Bonus From FEELMONEY","2024-09-22 17:32:34"
898,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From FEELMONEY","2024-09-22 17:32:34"
899,BCM03,EARNING,Cash,37.5,"Indirect Referral Bonus From FEELMONEY","2024-09-22 17:32:34"
900,Amygold,EARNING,Cash,225,"Indirect Referral Bonus From FEELMONEY","2024-09-22 17:32:34"
901,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-22 17:32:34"
902,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From FEELMONEY","2024-09-22 17:32:34"
903,Nwokejiezi,EARNING,Cash,150,"Indirect Referral Bonus From FEELMONEY","2024-09-22 17:32:34"
904,GreatGrace,EARNING,Cash,2625,"Direct Referral Bonus From FEELMONEY","2024-09-22 17:32:34"
905,Amygold01,DEBIT,Cash,3150,"Withdrawal Charges","2024-09-20 22:10:07"
906,Amygold01,DEBIT,Cash,59850,"Withdrawal Request","2024-09-20 22:10:07"
907,Amygold,DEBIT,Cash,2205,"Withdrawal Charges","2024-09-20 22:03:16"
908,Amygold,DEBIT,Cash,41895,"Withdrawal Request","2024-09-20 22:03:16"
909,Olublessed,DEBIT,Cash,20881,"Withdrawal Request","2024-09-20 19:35:41"
910,Olublessed,DEBIT,Cash,1099,"Withdrawal Charges","2024-09-20 19:35:41"
911,BCM03,EARNING,Cash,87.5,"Indirect Referral Bonus From BalanceBoss","2024-09-20 13:45:14"
912,Vivydollars,EARNING,Cash,875,"Indirect Referral Bonus From BalanceBoss","2024-09-20 13:45:14"
913,Kemsy,EARNING,Cash,87.5,"Indirect Referral Bonus From BalanceBoss","2024-09-20 13:45:14"
914,Donlivis,EARNING,Cash,525,"Indirect Referral Bonus From BalanceBoss","2024-09-20 13:45:14"
915,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 13:45:14"
916,Worldbest,EARNING,Cash,87.5,"Indirect Referral Bonus From BalanceBoss","2024-09-20 13:45:14"
917,Vivydollars,EARNING,Cash,6125,"Direct Referral Bonus From BalanceBoss","2024-09-20 13:45:14"
918,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From Goldbaby","2024-09-20 12:58:46"
919,Donlivis,EARNING,Cash,225,"Indirect Referral Bonus From Goldbaby","2024-09-20 12:58:46"
920,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 12:58:46"
921,Worldbest,EARNING,Cash,37.5,"Indirect Referral Bonus From Goldbaby","2024-09-20 12:58:46"
922,Vivydollars,EARNING,Cash,2625,"Direct Referral Bonus From Goldbaby","2024-09-20 12:58:46"
923,BCM03,EARNING,Cash,37.5,"Indirect Referral Bonus From Goldbaby","2024-09-20 12:58:46"
924,Vivydollars,EARNING,Cash,375,"Indirect Referral Bonus From Goldbaby","2024-09-20 12:58:46"
925,Amygold01,EARNING,Cash,5000,"Team Bonus Earnings From Level 5 - Goldbaby","2024-09-20 12:57:58"
926,Vivydollars,EARNING,Cash,2250,"Indirect Referral Bonus From Neeta","2024-09-20 12:02:41"
927,Ifyhoney,EARNING,Cash,39375,"Direct Referral Bonus From Neeta","2024-09-20 12:02:41"
928,Worldbest,EARNING,Cash,562.5,"Indirect Referral Bonus From Neeta","2024-09-20 12:02:41"
929,Ifyhoney,EARNING,Cash,6750,"Indirect Referral Bonus From Neeta","2024-09-20 12:02:41"
930,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 12:02:41"
931,Goldbaby,EARNING,Cash,3375,"Indirect Referral Bonus From Neeta","2024-09-20 12:02:41"
932,BCM03,EARNING,Cash,87.5,"Indirect Referral Bonus From Vivydollars","2024-09-20 11:56:15"
933,Mlmqueen,EARNING,Cash,525,"Indirect Referral Bonus From Vivydollars","2024-09-20 11:56:15"
934,Kemsy,EARNING,Cash,87.5,"Indirect Referral Bonus From Vivydollars","2024-09-20 11:56:15"
935,Amygold01,EARNING,Cash,175,"Indirect Referral Bonus From Vivydollars","2024-09-20 11:56:15"
936,Donlivis,EARNING,Cash,6125,"Direct Referral Bonus From Vivydollars","2024-09-20 11:56:15"
937,BCM3,EARNING,Cash,87.5,"Indirect Referral Bonus From Vivydollars","2024-09-20 11:56:15"
938,Worldbest,EARNING,Cash,87.5,"Indirect Referral Bonus From Vivydollars","2024-09-20 11:56:15"
939,Donlivis,EARNING,Cash,875,"Indirect Referral Bonus From Vivydollars","2024-09-20 11:56:15"
940,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 11:56:15"
941,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 11:44:50"
942,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From Donlivis","2024-09-20 11:44:50"
943,Amygold01,EARNING,Cash,150,"Indirect Referral Bonus From Donlivis","2024-09-20 11:44:50"
944,Mlmqueen,EARNING,Cash,2625,"Direct Referral Bonus From Donlivis","2024-09-20 11:44:50"
945,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From Donlivis","2024-09-20 11:44:50"
946,Worldbest,EARNING,Cash,37.5,"Indirect Referral Bonus From Donlivis","2024-09-20 11:44:50"
947,Mlmqueen,EARNING,Cash,375,"Indirect Referral Bonus From Donlivis","2024-09-20 11:44:50"
948,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From Donlivis","2024-09-20 11:44:50"
949,BCM03,EARNING,Cash,37.5,"Indirect Referral Bonus From Donlivis","2024-09-20 11:44:50"
950,Pinielpearl,EARNING,Cash,225,"Indirect Referral Bonus From Donlivis","2024-09-20 11:44:50"
951,Amygold01,EARNING,Cash,5000,"Team Bonus Earnings From Level 3 - Donlivis","2024-09-20 11:43:58"
952,Zeeworld001,EARNING,Cash,2850,"Personal Discount Bonus","2024-09-20 11:36:14"
953,Zeeworld,EARNING,Cash,1425,"Discount Refereer Bonus From Zeeworld001","2024-09-20 11:36:14"
954,Zeeworld,EARNING,Cash,375,"Discount Refereer Bonus From Zeeworld001","2024-09-20 11:24:32"
955,Zeeworld001,EARNING,Cash,750,"Personal Discount Bonus","2024-09-20 11:24:32"
956,Zeeworld001,EARNING,Cash,4250,"Personal Discount Bonus","2024-09-20 11:14:02"
957,Zeeworld,EARNING,Cash,2125,"Discount Refereer Bonus From Zeeworld001","2024-09-20 11:14:02"
958,Goldbaby,EARNING,Cash,39375,"Direct Referral Bonus From Ifyhoney","2024-09-20 11:09:13"
959,Worldbest,EARNING,Cash,562.5,"Indirect Referral Bonus From Ifyhoney","2024-09-20 11:09:13"
960,Goldbaby,EARNING,Cash,5625,"Indirect Referral Bonus From Ifyhoney","2024-09-20 11:09:13"
961,BCM03,EARNING,Cash,562.5,"Indirect Referral Bonus From Ifyhoney","2024-09-20 11:09:13"
962,Everglow,EARNING,Cash,3000,"Stockist Registration Commission","2024-09-20 11:09:13"
963,Vivydollars,EARNING,Cash,3375,"Indirect Referral Bonus From Ifyhoney","2024-09-20 11:09:13"
964,Amygold01,EARNING,Cash,35000,"Team Bonus Earnings From Level 6 - Ifyhoney","2024-09-20 11:08:17"
965,BCM03,EARNING,Cash,500,"Indirect Referral Bonus From Mummyt","2024-09-20 11:02:17"
966,Zeeworld001,EARNING,Cash,6000,"Indirect Referral Bonus From Mummyt","2024-09-20 11:02:17"
967,BCM1,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 11:02:17"
968,Zeeworld001,EARNING,Cash,3000,"Indirect Referral Bonus From Mummyt","2024-09-20 11:02:17"
969,Worldbest,EARNING,Cash,500,"Indirect Referral Bonus From Mummyt","2024-09-20 11:02:17"
970,Zeeworld001,EARNING,Cash,35000,"Direct Referral Bonus From Mummyt","2024-09-20 11:02:17"
971,"Jaylade Essentials",EARNING,Cash,3300,"Restock Commission From Jaylade Essentials","2024-09-20 09:38:04"
972,Faithtiti,EARNING,Cash,66,"Stockist Sponsor Commission FromJaylade Essentials","2024-09-20 09:38:04"
973,BCM1,EARNING,Cash,1980,"Restock Commission From Jaylade Essentials","2024-09-20 09:38:04"
974,"Jaylade Essentials",EARNING,Cash,13875,"Restock Commission From Jaylade Essentials","2024-09-20 09:27:37"
975,Faithtiti,EARNING,Cash,277.5,"Stockist Sponsor Commission FromJaylade Essentials","2024-09-20 09:27:37"
976,BCM1,EARNING,Cash,8325,"Restock Commission From Jaylade Essentials","2024-09-20 09:27:37"
977,Worldbest,EARNING,Cash,550,"Indirect Referral Bonus From PDOLLARS","2024-09-20 09:15:08"
978,Zeeworld001,EARNING,Cash,38500,"Direct Referral Bonus From PDOLLARS","2024-09-20 09:15:08"
979,BCM03,EARNING,Cash,550,"Indirect Referral Bonus From PDOLLARS","2024-09-20 09:15:08"
980,Zeeworld001,EARNING,Cash,6600,"Indirect Referral Bonus From PDOLLARS","2024-09-20 09:15:08"
981,BCM1,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 09:15:08"
982,Zeeworld001,EARNING,Cash,3300,"Indirect Referral Bonus From PDOLLARS","2024-09-20 09:15:08"
983,Zeeworld001,EARNING,Cash,35000,"Team Bonus Earnings From Level 2 - PDOLLARS","2024-09-20 09:14:17"
984,Zeeworld001,EARNING,Cash,31500,"Direct Referral Bonus From Mummy6","2024-09-20 09:11:04"
985,BCM03,EARNING,Cash,450,"Indirect Referral Bonus From Mummy6","2024-09-20 09:11:04"
986,Zeeworld001,EARNING,Cash,5400,"Indirect Referral Bonus From Mummy6","2024-09-20 09:11:04"
987,BCM1,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 09:11:04"
988,Zeeworld001,EARNING,Cash,2700,"Indirect Referral Bonus From Mummy6","2024-09-20 09:11:04"
989,Worldbest,EARNING,Cash,450,"Indirect Referral Bonus From Mummy6","2024-09-20 09:11:04"
990,Worldbest,EARNING,Cash,537.5,"Indirect Referral Bonus From Gladtiding","2024-09-20 08:50:25"
991,Zeeworld001,EARNING,Cash,37625,"Direct Referral Bonus From Gladtiding","2024-09-20 08:50:25"
992,BCM03,EARNING,Cash,537.5,"Indirect Referral Bonus From Gladtiding","2024-09-20 08:50:25"
993,Zeeworld001,EARNING,Cash,6450,"Indirect Referral Bonus From Gladtiding","2024-09-20 08:50:25"
994,BCM1,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 08:50:25"
995,Zeeworld001,EARNING,Cash,3225,"Indirect Referral Bonus From Gladtiding","2024-09-20 08:50:25"
996,BCM1,EARNING,Cash,900,"Restock Commission From Jaylade Essentials","2024-09-20 08:45:47"
997,"Jaylade Essentials",EARNING,Cash,1500,"Restock Commission From Jaylade Essentials","2024-09-20 08:45:46"
998,Faithtiti,EARNING,Cash,30,"Stockist Sponsor Commission FromJaylade Essentials","2024-09-20 08:45:46"
999,Zeeworld001,EARNING,Cash,35000,"Direct Referral Bonus From Mandyf","2024-09-20 08:38:25"
1000,BCM03,EARNING,Cash,500,"Indirect Referral Bonus From Mandyf","2024-09-20 08:38:25"
1001,Zeeworld001,EARNING,Cash,6000,"Indirect Referral Bonus From Mandyf","2024-09-20 08:38:25"
1002,Kemsy,EARNING,Cash,500,"Indirect Referral Bonus From Mandyf","2024-09-20 08:38:25"
1003,AsiegbuG,EARNING,Cash,3000,"Indirect Referral Bonus From Mandyf","2024-09-20 08:38:25"
1004,BCM1,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 08:38:25"
1005,Worldbest,EARNING,Cash,500,"Indirect Referral Bonus From Mandyf","2024-09-20 08:38:25"
1006,Faithtiti,EARNING,Cash,263.5,"Stockist Sponsor Commission FromJaylade Essentials","2024-09-20 08:33:59"
1007,BCM1,EARNING,Cash,7905,"Restock Commission From Jaylade Essentials","2024-09-20 08:33:59"
1008,"Jaylade Essentials",EARNING,Cash,13175,"Restock Commission From Jaylade Essentials","2024-09-20 08:33:59"
1009,BCM03,EARNING,Cash,562.5,"Indirect Referral Bonus From Nazynancy","2024-09-20 08:31:42"
1010,Zeeworld001,EARNING,Cash,6750,"Indirect Referral Bonus From Nazynancy","2024-09-20 08:31:42"
1011,Kemsy,EARNING,Cash,562.5,"Indirect Referral Bonus From Nazynancy","2024-09-20 08:31:42"
1012,AsiegbuG,EARNING,Cash,3375,"Indirect Referral Bonus From Nazynancy","2024-09-20 08:31:42"
1013,BCM1,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 08:31:42"
1014,Worldbest,EARNING,Cash,562.5,"Indirect Referral Bonus From Nazynancy","2024-09-20 08:31:42"
1015,Zeeworld001,EARNING,Cash,39375,"Direct Referral Bonus From Nazynancy","2024-09-20 08:31:42"
1016,BCM3,EARNING,Cash,487.5,"Indirect Referral Bonus From Zeeworld001","2024-09-20 08:23:01"
1017,BCM1,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 08:23:01"
1018,BCM03,EARNING,Cash,487.5,"Indirect Referral Bonus From Zeeworld001","2024-09-20 08:23:01"
1019,Kemsy,EARNING,Cash,487.5,"Indirect Referral Bonus From Zeeworld001","2024-09-20 08:23:01"
1020,Worldbest,EARNING,Cash,487.5,"Indirect Referral Bonus From Zeeworld001","2024-09-20 08:23:00"
1021,Zeeworld,EARNING,Cash,4875,"Indirect Referral Bonus From Zeeworld001","2024-09-20 08:23:00"
1022,Zeeworld,EARNING,Cash,2925,"Indirect Referral Bonus From Zeeworld001","2024-09-20 08:23:00"
1023,Amygold01,EARNING,Cash,975,"Indirect Referral Bonus From Zeeworld001","2024-09-20 08:23:00"
1024,Zeeworld,EARNING,Cash,34125,"Direct Referral Bonus From Zeeworld001","2024-09-20 08:23:00"
1025,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE","2024-09-20 02:17:25"
1026,Worldbest,EARNING,Cash,150,"Indirect Referral Bonus From LADYVEE","2024-09-20 02:17:25"
1027,Hannahmmy,EARNING,Cash,2625,"Direct Referral Bonus From LADYVEE","2024-09-20 02:17:25"
1028,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE","2024-09-20 02:17:25"
1029,BCM03,EARNING,Cash,75,"Indirect Referral Bonus From LADYVEE","2024-09-20 02:17:25"
1030,Hannahmmy,EARNING,Cash,375,"Indirect Referral Bonus From LADYVEE","2024-09-20 02:17:25"
1031,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 02:17:25"
1032,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE","2024-09-20 02:17:25"
1033,"Nkem boms",EARNING,Cash,225,"Indirect Referral Bonus From LADYVEE","2024-09-20 02:17:25"
1034,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 01:09:19"
1035,Amygold,EARNING,Cash,13125,"Direct Referral Bonus From Amygold01","2024-09-20 00:44:37"
1036,BCM1,EARNING,Cash,187.5,"Indirect Referral Bonus From Amygold01","2024-09-20 00:44:37"
1037,BCM03,EARNING,Cash,375,"Indirect Referral Bonus From Amygold01","2024-09-20 00:44:37"
1038,Amygold,EARNING,Cash,1875,"Indirect Referral Bonus From Amygold01","2024-09-20 00:44:37"
1039,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-20 00:44:37"
1040,Kemsy,EARNING,Cash,187.5,"Indirect Referral Bonus From Amygold01","2024-09-20 00:44:37"
1041,Nwokejiezi,EARNING,Cash,1125,"Indirect Referral Bonus From Amygold01","2024-09-20 00:44:37"
1042,BCM3,EARNING,Cash,187.5,"Indirect Referral Bonus From Amygold01","2024-09-20 00:44:37"
1043,Worldbest,EARNING,Cash,750,"Indirect Referral Bonus From Amygold01","2024-09-20 00:44:37"
1044,Dizahlove,EARNING,Cash,2625,"Direct Referral Bonus From Dizahlove01","2024-09-19 22:56:01"
1045,Worldbest,EARNING,Cash,37.5,"Indirect Referral Bonus From Dizahlove01","2024-09-19 22:56:01"
1046,Dizahlove,EARNING,Cash,150,"Indirect Referral Bonus From Dizahlove01","2024-09-19 22:56:01"
1047,Dizahlove,EARNING,Cash,375,"Indirect Referral Bonus From Dizahlove01","2024-09-19 22:56:01"
1048,BCM03,EARNING,Cash,37.5,"Indirect Referral Bonus From Dizahlove01","2024-09-19 22:56:01"
1049,SuccessQueen,EARNING,Cash,37.5,"Indirect Referral Bonus From Dizahlove01","2024-09-19 22:56:01"
1050,Asangusung,EARNING,Cash,225,"Indirect Referral Bonus From Dizahlove01","2024-09-19 22:56:01"
1051,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-19 22:56:01"
1052,Flourishoasis,EARNING,Cash,37.5,"Indirect Referral Bonus From Dizahlove01","2024-09-19 22:56:01"
1053,Globalaidee,EARNING,Cash,5000,"Team Bonus Earnings From Level 5 - Dizahlove01","2024-09-19 22:55:05"
1054,Everglow,DEBIT,Cash,5000,"Withdrawal Charges","2024-09-19 19:01:40"
1055,Everglow,DEBIT,Cash,95000,"Withdrawal Request","2024-09-19 19:01:40"
1056,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From AsiegbuG","2024-09-19 17:53:00"
1057,BCM03,EARNING,Cash,37.5,"Indirect Referral Bonus From AsiegbuG","2024-09-19 17:53:00"
1058,Smiling,EARNING,Cash,225,"Indirect Referral Bonus From AsiegbuG","2024-09-19 17:53:00"
1059,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-19 17:53:00"
1060,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From AsiegbuG","2024-09-19 17:53:00"
1061,Amygold01,EARNING,Cash,150,"Indirect Referral Bonus From AsiegbuG","2024-09-19 17:53:00"
1062,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From AsiegbuG","2024-09-19 17:53:00"
1063,Worldbest,EARNING,Cash,37.5,"Indirect Referral Bonus From AsiegbuG","2024-09-19 17:53:00"
1064,Zeeworld,EARNING,Cash,375,"Indirect Referral Bonus From AsiegbuG","2024-09-19 17:53:00"
1065,Zeeworld,EARNING,Cash,2625,"Direct Referral Bonus From AsiegbuG","2024-09-19 17:52:59"
1066,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From Smiling","2024-09-19 16:01:45"
1067,BCM03,EARNING,Cash,37.5,"Indirect Referral Bonus From Smiling","2024-09-19 16:01:45"
1068,Amygold,EARNING,Cash,225,"Indirect Referral Bonus From Smiling","2024-09-19 16:01:45"
1069,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-19 16:01:45"
1070,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From Smiling","2024-09-19 16:01:45"
1071,Nwokejiezi,EARNING,Cash,150,"Indirect Referral Bonus From Smiling","2024-09-19 16:01:45"
1072,Amygold01,EARNING,Cash,2625,"Direct Referral Bonus From Smiling","2024-09-19 16:01:45"
1073,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From Smiling","2024-09-19 16:01:45"
1074,Worldbest,EARNING,Cash,75,"Indirect Referral Bonus From Smiling","2024-09-19 16:01:45"
1075,Amygold01,EARNING,Cash,375,"Indirect Referral Bonus From Smiling","2024-09-19 16:01:45"
1076,royalblood35,EARNING,Cash,2450,"Direct Referral Bonus From Juanita","2024-09-19 10:39:25"
1077,Kemsy,EARNING,Cash,3000,"Stockist Registration Commission","2024-09-19 10:39:25"
1078,Kemsy,EARNING,Cash,70,"Indirect Referral Bonus From Juanita","2024-09-19 10:39:25"
1079,royalblood35,EARNING,Cash,350,"Indirect Referral Bonus From Juanita","2024-09-19 10:39:25"
1080,BCM3,EARNING,Cash,35,"Indirect Referral Bonus From Juanita","2024-09-19 10:39:25"
1081,Bigglo,EARNING,Cash,210,"Indirect Referral Bonus From Juanita","2024-09-19 10:39:25"
1082,BCM1,EARNING,Cash,35,"Indirect Referral Bonus From Juanita","2024-09-19 10:39:25"
1083,Franklin,EARNING,Cash,140,"Indirect Referral Bonus From Juanita","2024-09-19 10:39:25"
1084,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:10:25"
1085,Worldbest,EARNING,Cash,75,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:10:25"
1086,LADYVEE01,EARNING,Cash,375,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:10:25"
1087,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:10:25"
1088,BCM03,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:10:25"
1089,Hannahmmy,EARNING,Cash,225,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:10:25"
1090,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-19 06:10:25"
1091,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:10:25"
1092,"Nkem boms",EARNING,Cash,150,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:10:25"
1093,LADYVEE01,EARNING,Cash,2625,"Direct Referral Bonus From LADYVEE03","2024-09-19 06:10:25"
1094,BCM03,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:09:05"
1095,Hannahmmy,EARNING,Cash,225,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:09:05"
1096,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:09:05"
1097,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:09:05"
1098,"Nkem boms",EARNING,Cash,150,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:09:05"
1099,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-19 06:09:05"
1100,LADYVEE01,EARNING,Cash,2625,"Direct Referral Bonus From LADYVEE03","2024-09-19 06:09:05"
1101,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:09:05"
1102,Worldbest,EARNING,Cash,75,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:09:05"
1103,LADYVEE01,EARNING,Cash,375,"Indirect Referral Bonus From LADYVEE03","2024-09-19 06:09:05"
1104,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE02","2024-09-19 05:47:15"
1105,BCM03,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE02","2024-09-19 05:47:15"
1106,Hannahmmy,EARNING,Cash,225,"Indirect Referral Bonus From LADYVEE02","2024-09-19 05:47:15"
1107,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-19 05:47:15"
1108,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE02","2024-09-19 05:47:15"
1109,"Nkem boms",EARNING,Cash,150,"Indirect Referral Bonus From LADYVEE02","2024-09-19 05:47:15"
1110,LADYVEE01,EARNING,Cash,2625,"Direct Referral Bonus From LADYVEE02","2024-09-19 05:47:15"
1111,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE02","2024-09-19 05:47:15"
1112,Worldbest,EARNING,Cash,75,"Indirect Referral Bonus From LADYVEE02","2024-09-19 05:47:15"
1113,LADYVEE01,EARNING,Cash,375,"Indirect Referral Bonus From LADYVEE02","2024-09-19 05:47:15"
1114,Hannahmmy,EARNING,Cash,375,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:12:39"
1115,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-18 22:12:39"
1116,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:12:39"
1117,"Nkem boms",EARNING,Cash,225,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:12:39"
1118,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:12:39"
1119,Worldbest,EARNING,Cash,150,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:12:39"
1120,Hannahmmy,EARNING,Cash,2625,"Direct Referral Bonus From LADYVEE01","2024-09-18 22:12:39"
1121,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:12:39"
1122,BCM03,EARNING,Cash,75,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:12:39"
1123,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:11:55"
1124,BCM03,EARNING,Cash,75,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:11:55"
1125,Hannahmmy,EARNING,Cash,375,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:11:55"
1126,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-18 22:11:55"
1127,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:11:55"
1128,"Nkem boms",EARNING,Cash,225,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:11:55"
1129,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:11:55"
1130,Worldbest,EARNING,Cash,150,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:11:55"
1131,Hannahmmy,EARNING,Cash,2625,"Direct Referral Bonus From LADYVEE01","2024-09-18 22:11:55"
1132,Worldbest,EARNING,Cash,150,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:08:34"
1133,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:08:34"
1134,BCM03,EARNING,Cash,75,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:08:34"
1135,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-18 22:08:34"
1136,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:08:34"
1137,"Nkem boms",EARNING,Cash,225,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:08:34"
1138,BCM3,EARNING,Cash,37.5,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:08:34"
1139,Hannahmmy,EARNING,Cash,375,"Indirect Referral Bonus From LADYVEE01","2024-09-18 22:08:33"
1140,Hannahmmy,EARNING,Cash,2625,"Direct Referral Bonus From LADYVEE01","2024-09-18 22:08:33"
1141,"Nkem boms",EARNING,Cash,5000,"Team Bonus Earnings From Level 2 - LADYVEE01","2024-09-18 22:07:40"
1142,BCM03,EARNING,Cash,87.5,"Indirect Referral Bonus From Zowee","2024-09-18 14:46:40"
1143,Zenny,EARNING,Cash,875,"Indirect Referral Bonus From Zowee","2024-09-18 14:46:40"
1144,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-09-18 14:46:40"
1145,Wealthysaint,EARNING,Cash,525,"Indirect Referral Bonus From Zowee","2024-09-18 14:46:40"
1146,Worldbest,EARNING,Cash,87.5,"Indirect Referral Bonus From Zowee","2024-09-18 14:46:40"
1147,Zenny,EARNING,Cash,6125,"Direct Referral Bonus From Zowee","2024-09-18 14:46:40"
1148,Zenny,EARNING,Cash,7000,"Team Bonus Earnings From Level 4 - Zowee","2024-09-18 14:45:52"
